-33,-22,-87,45,-49,32,21,-5,70,-53,-93,-45,-9,-88,-61,-85,-50,-60,38,8,-12,34,89,87
8.581581,-23.205053,-21.962177,9.15934,-21.22709,-21.53198,7.906143,-23.874317,-22.514225,8.939415,-21.247055,-20.748816,8.576286,-23.271473,-21.190014,8.016434,-23.311207,-20.407751,7.3925743,-21.13043,-18.714445,9.027859,-21.123676,-21.141605
7.934002,-22.167883,-22.322302,7.9285583,-21.25119,-21.319296,8.307438,-22.194706,-21.608444,8.408455,-21.225655,-21.292675,8.9338,-22.274769,-22.302498,7.9326477,-21.360374,-21.718647,7.9245453,-22.35367,-22.28036,8.373573,-21.216839,-21.357735
8.0310135,-22.085611,-22.301977,7.956093,-21.318758,-21.370205,8.453812,-22.15028,-21.622654,8.401836,-21.246677,-21.347584,8.881348,-22.218143,-22.239468,8.011261,-21.45224,-21.766653,7.9657288,-22.222956,-22.218708,8.459782,-21.221962,-21.406528
8.059544,-22.04096,-22.245827,7.948105,-21.35748,-21.415766,8.495346,-22.102882,-21.59168,8.37006,-21.284233,-21.390755,8.838707,-22.16831,-22.185074,8.036076,-21.50131,-21.823612,7.9509277,-22.172546,-22.168896,8.500637,-21.254738,-21.454418
8.07806,-22.006817,-22.204937,7.941078,-21.387794,-21.449268,8.525002,-22.066769,-21.568184,8.347595,-21.312922,-21.422995,8.809082,-22.132776,-22.144585,8.053345,-21.537487,-21.865442,7.9415703,-22.136019,-22.13235,8.531227,-21.277103,-21.489923
8.091408,-21.982044,-22.175182,7.936096,-21.409796,-21.473644,8.54649,-22.04055,-21.551151,8.331413,-21.333755,-21.446362,8.787636,-22.107056,-22.115116,8.065819,-21.563766,-21.895712,7.9348946,-22.109472,-22.105837,8.553398,-21.293438,-21.515722
8.101051,-21.964104,-22.153618,7.9324875,-21.425732,-21.491299,8.562046,-22.021551,-21.53881,8.319702,-21.348846,-21.463278,8.77211,-22.088428,-22.093754,8.074844,-21.582796,-21.91762,7.930065,-22.090246,-22.08663,8.569435,-21.305265,-21.534407
8.108032,-21.951105,-22.137995,7.9298706,-21.437265,-21.504076,8.573296,-22.007782,-21.529873,8.311218,-21.359768,-21.475525,8.760864,-22.074936,-22.078283,8.081379,-21.59657,-21.93348,7.9265747,-22.07632,-22.07272,8.581047,-21.313835,-21.547932
8.113083,-21.941696,-22.126677,7.9279747,-21.445614,-21.513329,8.581432,-21.997822,-21.523397,8.305073,-21.367676,-21.48439,8.752716,-22.065166,-22.06708,8.086109,-21.60654,-21.944958,7.9240417,-22.066235,-22.062643,8.589447,-21.320038,-21.557722
8.116741,-21.934875,-22.118488,7.926605,-21.451662,-21.520027,8.5873375,-21.990604,-21.518711,8.300621,-21.373404,-21.49081,8.746819,-22.05809,-22.058966,8.089527,-21.61376,-21.953262,7.922207,-22.058935,-22.055344,8.595535,-21.324522,-21.564808
8.119392,-21.92994,-22.112556,7.9256134,-21.456043,-21.524876,8.591606,-21.985367,-21.515316,8.297401,-21.377548,-21.495459,8.742546,-22.05297,-22.053085,8.0920105,-21.618986,-21.959286,7.9208794,-22.053646,-22.050058,8.59993,-21.327772,-21.569942
8.121307,-21.926367,-22.108252,7.9248886,-21.459215,-21.528393,8.594696,-21.981585,-21.512856,8.295059,-21.38055,-21.498825,8.739441,-22.049255,-22.048828,8.093803,-21.622772,-21.963644,7.919918,-22.049816,-22.046234,8.603127,-21.330126,-21.57366
8.122704,-21.923773,-22.105143,7.92437,-21.46151,-21.530941,8.596935,-21.978844,-21.511074,8.2933655,-21.382723,-21.501265,8.737202,-22.046568,-22.045744,8.095108,-21.625517,-21.966799,7.91922,-22.047039,-22.043453,8.605431,-21.331835,-21.576351
8.123707,-21.9219,-22.102886,7.923996,-21.46317,-21.532774,8.5985565,-21.976854,-21.509783,8.292141,-21.384304,-21.503033,8.73558,-22.044622,-22.043512,8.09605,-21.627504,-21.969088,7.9187164,-22.045029,-22.04145,8.607105,-21.333067,-21.578304
8.124432,-21.92054,-22.101252,7.923729,-21.464376,-21.534115,8.599724,-21.975414,-21.508848,8.291252,-21.385448,-21.50431,8.7344055,-22.043211,-22.041893,8.096729,-21.62894,-21.97074,7.918354,-22.043571,-22.039995,8.608318,-21.333963,-21.579716
